num_critic_for_reviews,duration,gross,genres,movie_title,num_voted_users,plot_keywords,num_user_for_reviews,country,content_rating,budget,title_year,imdb_score,genre
486,126,318298180,Action,Iron Man ,696338,afghanistan|billionaire|inventor|playboy|u.s. air force,1055,USA,PG-13,140000000,2008,7.9,Action
682,126,73820094,Adventure,Hugo ,245333,automaton|mechanical|railway station|steampunk|train,678,USA,PG,170000000,2011,7.5,Action
85,106,113745408,Action,Wild Wild West ,129601,buddy movie|general|inventor|steampunk|utah,648,USA,PG-13,170000000,1999,4.8,Action
264,112,102176165,Action,The Mummy: Tomb of the Dragon Emperor ,117927,army|china|emperor|mummy|shangri la,501,USA,PG-13,145000000,2008,5.2,Action
418,123,161087183,Action,Suicide Squad ,118992,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,971,USA,PG-13,175000000,2016,6.9,Action
186,96,100289690,Comedy,Evan Almighty ,115099,ark|change|congressman|depiction of god|flood,257,USA,PG,175000000,2007,5.4,Action
585,113,100189501,Action,Edge of Tomorrow ,431620,alien|combat|dying repeatedly|end of the world|time loop,741,USA,PG-13,178000000,2014,7.9,Action
91,176,88246220,Action,Waterworld ,144337,future|sail|sea|smoker|water,309,USA,PG-13,175000000,1995,6.1,Action
250,118,150167630,Action,G.I. Joe: The Rise of Cobra ,174578,cobra|gi joe|snake|train|warhead,534,USA,PG-13,175000000,2009,5.8,Action
536,95,356454367,Adventure,Inside Out ,345198,anger|joy|memory|running away|sadness,773,USA,PG,175000000,2015,8.3,Action
370,106,362645141,Adventure,The Jungle Book ,106072,fire|jungle|remake|tiger|wolf,398,UK,PG,175000000,2016,7.8,Action
453,124,312057433,Action,Iron Man 2 ,522371,hammer|military|monaco|revenge|tony stark,723,USA,PG-13,200000000,2010,7.0,Action
416,132,155111815,Action,Snow White and the Huntsman ,228554,evil queen|fairy tale|magic|queen|snow white,710,USA,PG-13,170000000,2012,6.1,Action
401,97,241407328,Action,Maleficent ,252257,curse|dark fantasy|fairy|king|kingdom,634,USA,PG,180000000,2014,7.0,Action
521,130,208543795,Action,Dawn of the Planet of the Apes ,317542,ape|dam|leader|post apocalypse|sequel,620,USA,PG-13,170000000,2014,7.6,Action
10,109,0,Action,The Lovers ,2138,1770s|british india|great barrier reef|india|ring,15,Belgium,R,0,2015,4.5,Action
218,128,38297305,Action,47 Ronin ,116994,box office flop|ronin|samurai|shogun|tournament,324,USA,PG-13,175000000,2013,6.3,Action
576,136,259746958,Action,Captain America: The Winter Soldier ,496749,conspiracy|heroism|megalomaniac|super soldier|world domination,742,USA,PG-13,170000000,2014,7.8,Action
226,93,238371987,Adventure,Shrek Forever After ,138661,alternate world|fairy tale parody|female warrior|ogre|true love,173,USA,PG,165000000,2010,6.4,Action
443,130,93417865,Action,Tomorrowland ,128306,boy genius|futuristic city|inventor|teenage girl|time travel,497,USA,PG,190000000,2015,6.5,Action
384,102,222487711,Action,Big Hero 6 ,279093,high tech|martial arts|masked man|robot|superhero,433,USA,PG,165000000,2014,7.9,Action
377,101,189412677,Adventure,Wreck-It Ralph ,272534,arcade|candy|glitch|king|medal,345,USA,PG,165000000,2012,7.8,Action
188,100,665426,Adventure,The Polar Express ,120798,boy|christmas|christmas eve|north pole|train,444,USA,G,165000000,2004,6.6,Action
286,120,102315545,Action,Independence Day: Resurgence ,58137,alien|battle|defense|independence day|mothership,520,USA,PG-13,165000000,2016,5.5,Action
288,98,217387997,Adventure,How to Train Your Dragon ,485430,dragon|island|training|viking|village,492,USA,PG,165000000,2010,8.2,Action
280,109,150350192,Action,Terminator 3: Rise of the Machines ,305340,drifter|exploding truck|future|machine|skynet,1676,USA,R,200000000,2003,6.4,Action
653,121,333130696,Action,Guardians of the Galaxy ,682155,bounty hunter|outer space|raccoon|talking animal|tree,1097,USA,PG-13,170000000,2014,8.1,Action
712,169,187991439,Adventure,Interstellar ,928227,black hole|father daughter relationship|saving the world|space travel|wormhole,2725,USA,PG-13,165000000,2014,8.6,Action
642,148,292568851,Action,Inception ,1468200,ambiguous ending|corporate espionage|dream|subconscious|thief,2803,USA,PG-13,160000000,2010,8.8,Action
1,120,0,Action,Godzilla Resurgence ,374,blood|godzilla|monster|sequel,13,Japan,0,0,2016,8.2,Action
645,182,303001229,Adventure,The Hobbit: An Unexpected Journey ,637246,dragon|dwarf|hobbit|orc|wizard,1367,USA,PG-13,180000000,2012,7.9,Action
187,106,144512310,Action,The Fast and the Furious ,272223,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,988,USA,PG-13,38000000,2001,6.7,Action
362,166,127490802,Drama,The Curious Case of Benjamin Button ,459346,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,822,USA,PG-13,150000000,2008,7.8,Action
500,132,146405371,Action,X-Men: First Class ,518537,cia|cia agent|mutant|nuclear war|professor,698,USA,PG-13,160000000,2011,7.8,Action
389,137,281666058,Adventure,The Hunger Games: Mockingjay - Part 2 ,166137,death of sister|dystopia|execution|rebellion|revolution,383,USA,PG-13,160000000,2015,6.6,Action
235,109,63143812,Action,The Sorcerer's Apprentice ,124185,chosen one|enchanted object|love|spell|training,238,USA,PG,150000000,2010,6.1,Action
231,98,60655503,Action,Poseidon ,82380,cruise|escape|ocean|passenger|water,629,USA,PG-13,160000000,2006,5.6,Action
218,113,76846624,Adventure,Alice Through the Looking Glass ,21352,clock|dark fantasy|mad hatter|queen|sequel,131,USA,PG,170000000,2016,6.4,Action
227,93,320706665,Adventure,Shrek the Third ,211971,disney spoof|fairy tale|prince|princess|tough guy,326,USA,PG,160000000,2007,6.1,Action
275,123,46978995,Action,Warcraft ,111609,based on video game|fictional language|fictional war|orc|sword and sorcery,781,USA,PG-13,160000000,2016,7.3,Action
474,126,89732035,Action,Terminator Genisys ,188457,alternate timeline|cyborg|future|robot|time machine,867,USA,PG-13,155000000,2015,6.6,Action
228,113,104383624,Adventure,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,dragon|king|mouse|quest|warrior,227,USA,PG,155000000,2010,6.3,Action
191,184,198539855,Action,Pearl Harbor ,254111,air raid|black smoke|japanese military|japanese navy|sunday,1999,USA,PG-13,140000000,2001,6.1,Action
396,144,318759914,Action,Transformers ,513158,alien contact|autobot|decepticon|robot vs. robot|teenage hero,1782,USA,PG-13,150000000,2007,7.1,Action
248,206,34293771,Action,Alexander ,138863,ancient greece|conquest|greek|greek myth|king,1390,Germany,R,155000000,2004,5.5,Action
329,138,292000866,Adventure,Harry Potter and the Order of the Phoenix ,355137,battle|magic|school|teacher|wizard,1108,UK,PG-13,150000000,2007,7.5,Action
295,157,289994397,Adventure,Harry Potter and the Goblet of Fire ,385670,fire|goblet|magic|tournament|wizard,1896,UK,PG-13,150000000,2005,7.6,Action
318,102,227946274,Action,Hancock ,343648,bully comeuppance|destruction|prison|superhero|tough girl,590,USA,PG-13,150000000,2008,6.4,Action
323,104,256386216,Drama,I Am Legend ,530870,new york city|pandemic|post apocalypse|survivalist|virus,1413,USA,PG-13,150000000,2007,7.2,Action
276,115,206456431,Adventure,Charlie and the Chocolate Factory ,320284,chocolate|diminution|miniaturization|physical flexability|ticket,1361,USA,PG,150000000,2005,6.7,Action
318,111,206435493,Animation,Ratatouille ,473887,chef|food|french|rat|restaurant,626,USA,G,150000000,2007,8.0,Action
478,128,205343774,Action,Batman Begins ,980946,armored car|gangster|gotham|mixed martial arts|social decay,2685,USA,PG-13,150000000,2005,8.3,Action
167,89,179982968,Action,Madagascar: Escape 2 Africa ,146019,africa|madagascar|new york city|sequel|zoo,119,USA,PG,150000000,2008,6.7,Action
185,105,177243721,Adventure,Night at the Museum: Battle of the Smithsonian ,130272,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,209,USA,PG,150000000,2009,5.9,Action
350,119,179883016,Action,X-Men Origins: Wolverine ,361924,army|civil war|claw fight|commando|wolverine the character,641,USA,PG-13,150000000,2009,6.7,Action
245,129,139259759,Action,The Matrix Revolutions ,364948,battle|epic|fight|future|machine,2121,Australia,R,150000000,2003,6.7,Action
406,102,400736600,Adventure,Frozen ,421658,magic|sister love|sister sister relationship|snow|snowman,904,USA,PG,150000000,2013,7.6,Action
275,138,281492479,Action,The Matrix Reloaded ,421818,car motorcycle chase|one against many|oracle|prophecy|stylized violence,2789,USA,R,150000000,2003,7.2,Action
486,112,206360018,Action,Thor: The Dark World ,414070,arrest|portal|thor|warrior|weapon,532,USA,PG-13,170000000,2013,7.1,Action
739,120,153629485,Action,Mad Max: Fury Road ,552503,australia|desert|escape|on the run|post apocalypse,1588,Australia,R,150000000,2015,8.1,Action
298,146,133375846,Mystery,Angels & Demons ,207839,conclave|illuminati|murder|reference to bernini|reference to raphael,435,USA,PG-13,150000000,2009,6.7,Action
516,115,181015141,Action,Thor ,536314,battle|marvel cinematic universe|scientist|thor|throne,738,USA,PG-13,150000000,2011,7.0,Action
225,96,114053579,Adventure,Bolt ,146766,cat|dog|hamster|new york city|superpower,178,USA,PG,150000000,2008,6.9,Action
145,88,119420252,Action,G-Force ,33042,fbi director|guinea pig|household appliance|secret agent|talking mouse,90,USA,PG,150000000,2009,5.1,Action
310,99,83640426,Action,Wrath of the Titans ,152826,ares|hades|titan|underworld|zeus,253,USA,PG-13,150000000,2012,5.8,Action
526,113,79711678,Comedy,Dark Shadows ,199039,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,479,USA,PG-13,100000000,2012,6.2,Action
465,131,195000874,Action,Mission: Impossible - Rogue Nation ,232187,capture|computer hacker|mission|rogue agent|spy,440,China,PG-13,150000000,2015,7.4,Action
357,119,61937495,Drama,The Wolfman ,89442,asylum|death|full moon|transformation|werewolf,432,USA,R,150000000,2010,5.8,Action
248,110,124051759,Action,The Legend of Tarzan ,42372,africa|capture|jungle|male objectification|tarzan,239,USA,PG-13,180000000,2016,6.6,Action
194,91,126597121,Adventure,Bee Movie ,105902,bee|dream sequence|egg|scatological humor|squashed bug,206,USA,PG,150000000,2007,6.2,Action
284,90,165230261,Action,Kung Fu Panda 2 ,182718,china|kung fu|panda|peacock|tigress,209,USA,PG,150000000,2011,7.3,Action
280,103,131564731,Action,The Last Airbender ,118951,avatar|fire|kingdom|tribe|water,1382,USA,PG,150000000,2010,4.2,Action
310,124,133382309,Action,Mission: Impossible III ,256695,arms dealer|fictional government agency|mission|rescue|vatican,871,USA,PG-13,150000000,2006,6.9,Action
339,131,73103784,Action,White House Down ,164238,black u.s. president|president|secret service|tour|white house,434,USA,PG-13,150000000,2013,6.4,Action
132,88,21379315,Action,Mars Needs Moms ,17590,boy|martian|rescue|robot|sexism,112,USA,PG,150000000,2011,5.4,Action
135,85,64459316,Adventure,Flushed Away ,85086,boat|frog|rat|sewer|toad,122,UK,PG,149000000,2006,6.7,Action
256,111,34964818,Adventure,Pan ,39956,1940s|child hero|fantasy world|orphan|reference to peter pan,186,USA,PG,150000000,2015,5.8,Action
196,92,111505642,Adventure,Mr. Peabody & Sherman ,47900,dog|father son relationship|inventor|talking dog|time travel,130,USA,PG,145000000,2014,6.9,Action
220,196,133228348,Adventure,Troy ,381672,greek|mythology|prince|trojan|troy,1694,USA,R,175000000,2004,7.2,Action
211,93,216366733,Adventure,Madagascar 3: Europe's Most Wanted ,119213,animal|circus|island name in title|lemur|penguin,154,USA,PG,145000000,2012,6.9,Action
264,133,160201106,Action,Die Another Day ,169914,catfight|clinic|colonel|diamond|patricide,1185,UK,PG-13,142000000,2002,6.1,Action
464,116,118099659,Action,Ghostbusters ,69757,ghost|ghostbuster|ghostbusters|male objectification|reboot,1211,USA,PG-13,144000000,2016,5.5,Action
167,153,201573391,Action,Armageddon ,322395,asteroid|astronaut|bomb|meteorite|outer space,1171,USA,PG-13,140000000,1998,6.6,Action
208,88,190418803,Action,Men in Black II ,270207,alien|lingerie|lingerie model|m.i.b.|pug,606,USA,PG-13,140000000,2002,6.1,Action
287,115,82161969,Action,Beowulf ,142440,creature|demon|king|reward|warrior,505,USA,PG-13,150000000,2007,6.3,Action
210,95,143523463,Action,Kung Fu Panda 3 ,64322,china|kung fu|panda|pig|village,145,USA,PG,145000000,2016,7.2,Action
432,133,209364921,Action,Mission: Impossible - Ghost Protocol ,365104,dubai|kremlin|race against time|russian|terrorist,512,USA,PG-13,145000000,2011,7.4,Action
256,97,103400692,Adventure,Rise of the Guardians ,123553,belief|box office hit|children|new york city|tooth,174,USA,PG,145000000,2012,7.3,Action
135,90,110332737,Comedy,Fun with Dick and Jane ,110788,animal abuse|ceo|heist|suburb|unemployment,258,USA,PG-13,100000000,2005,6.1,Action
190,154,111110575,Action,The Last Samurai ,317166,captain|emperor|honor|japan|samurai,928,USA,R,140000000,2003,7.7,Action
314,150,65007045,Action,Exodus: Gods and Kings ,128682,egypt|exodus|moses|pharaoh|plague,657,UK,PG-13,140000000,2014,6.1,Action
518,127,257704099,Action,Star Trek ,504419,box office hit|future|lifted by the throat|star trek|vulcan,1559,USA,PG-13,150000000,2009,8.0,Action
291,121,403706375,Action,Spider-Man ,544665,evil|goblin|spider|spider man|superhero,2012,USA,PG-13,139000000,2002,7.3,Action
292,102,176997107,Action,How to Train Your Dragon 2 ,221128,dragon|father son relationship|husband wife relationship|mother son relationship|viking,343,USA,PG,145000000,2014,7.9,Action
184,126,31141074,Action,Gods of Egypt ,51892,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,273,USA,PG-13,140000000,2016,5.5,Action
145,121,31704416,Action,Stealth ,45455,artificial intelligence|box office flop|fighter jet|navy|pilot,388,USA,PG-13,135000000,2005,5.0,Action
451,215,107503316,Action,Watchmen ,392474,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,1229,USA,R,130000000,2009,7.7,Action
141,127,129734803,Action,Lethal Weapon 4 ,127497,kung fu|lapd|martial arts|private investigator|triad,287,USA,R,140000000,1998,6.6,Action
267,138,132122995,Action,Hulk ,212106,1980s|c 130 hercules|monster|panzer|san francisco california,1445,USA,PG-13,137000000,2003,5.7,Action
351,122,122512052,Action,G.I. Joe: Retaliation ,146352,general|gi joe|martial arts|ninja|president,288,USA,PG-13,130000000,2013,5.8,Action
163,124,68642452,Action,Sahara ,77673,beach|civil war|desert|dictator|ship,463,UK,PG-13,130000000,2005,6.0,Action
166,106,32131830,Action,Final Fantasy: The Spirits Within ,72259,general|military|scientist|soldier|year 2065,788,USA,PG-13,137000000,2001,6.4,Action
510,124,176636816,Action,Captain America: The First Avenger ,508818,arctic|captain america|scientist|tesseract|war bond,679,USA,PG-13,140000000,2011,6.9,Action
197,128,126930660,Action,The World Is Not Enough ,157519,british|oil|scientist|terrorist|tycoon,683,UK,PG-13,135000000,1999,6.4,Action
244,138,93926386,Action,Master and Commander: The Far Side of the World ,168207,1800s|napoleonic wars|pursuit|royal navy|ship,684,USA,PG-13,150000000,2003,7.4,Action
322,115,292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2 ,185394,battle|friend|super strength|vampire|vision,329,USA,PG-13,120000000,2012,5.5,Action
156,100,63992328,Animation,Happy Feet 2 ,32399,3d|antarctica|krill|penguin|sequel,79,Australia,PG,135000000,2011,5.9,Action
354,135,134518390,Action,The Incredible Hulk ,326286,antidote|cure|hulk|marvel cinematic universe|opening action scene,643,USA,PG-13,150000000,2008,6.8,Action
21,60,0,Action,Miami Vice             ,16769,cult tv|detective|drugs|police|undercover,74,USA,TV-14,1500000,0,7.5,Action
252,117,52792307,Adventure,The BFG ,12572,cannibal|evil brother|giant|london england|queen,106,UK,PG,140000000,2016,6.8,Action
556,156,183635922,Adventure,The Revenant ,406020,bear attack|cauterizing a wound|native american|revenge|survival,1188,USA,R,135000000,2015,8.1,Action
166,96,83024900,Adventure,Turbo ,62424,accident|freak accident|race|snail|underdog,90,USA,PG,135000000,2013,6.5,Action
362,107,123207194,Adventure,Rango ,183208,chameleon|lizard|sheriff|water|western town,337,USA,PG,135000000,2011,7.2,Action
153,92,83348920,Adventure,Penguins of Madagascar ,60230,little girl|park|spy|statue of liberty|television van,118,USA,PG,132000000,2014,6.7,Action
329,115,227137090,Action,The Bourne Ultimatum ,491077,action hero|cia|dark past|flashback|memory,820,USA,PG-13,110000000,2007,8.1,Action
266,92,215395021,Action,Kung Fu Panda ,307029,kung fu|kung fu master|master|panda|snow leopard,360,USA,PG,130000000,2008,7.6,Action
517,117,180191634,Action,Ant-Man ,313866,ant|chinatown san francisco|heist|sabotage|vault,549,USA,PG-13,130000000,2015,7.4,Action
502,146,424645577,Adventure,The Hunger Games: Catching Fire ,498397,president|snow|television|tour|uprising,706,USA,PG-13,130000000,2013,7.6,Action
322,115,292298923,Adventure,The Twilight Saga: Breaking Dawn - Part 2 ,185394,battle|friend|super strength|vampire|vision,329,USA,PG-13,120000000,2012,5.5,Action
165,94,177343675,Adventure,Home ,70121,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214,USA,PG,135000000,2015,6.7,Action
401,116,234277056,Adventure,War of the Worlds ,334345,alien|fight|storm|survival|tripod,2741,USA,PG-13,132000000,2005,6.5,Action
94,147,138396624,Action,Bad Boys II ,178126,cuba|dea|drugs|money|undercover,511,USA,R,130000000,2003,6.6,Action
246,90,149234747,Action,Puss in Boots ,114287,betrayal|egg|friend|goose|hero,137,USA,PG,130000000,2011,6.7,Action
330,101,118311368,Action,Salt ,245621,cia|on the run|russian|russian spy|strong female lead,514,USA,PG-13,110000000,2010,6.4,Action
434,138,101160529,Action,Noah ,200022,ark|flood|noah's ark|water|wrath of god,1240,USA,PG-13,125000000,2014,5.8,Action
440,107,77564037,Action,The Adventures of Tintin ,177383,captain|morocco|ship|tintin|treasure,447,USA,PG,135000000,2011,7.4,Action
274,142,249358727,Adventure,Harry Potter and the Prisoner of Azkaban ,382255,magic|muggle|serial killer|traitor|wizard,1504,UK,PG,130000000,2004,7.8,Action
